"DateTime";"Quantidade Fora do SPI";"Quantidade SPI";"Total"
"2021-02-28";44485,51;229417,97;273903,48
"2021-03-31";61099,88;328459,61;389559,49
"2021-04-30";84062,56;410672,26;494734,82
"2021-05-31";98254,11;520634,81;618888,92
"2021-06-30";109284,23;626017,64;735301,87
"2021-07-31";128192,33;745678,8;873871,13
"2021-08-31";145845,88;815190,85;961036,73
"2021-09-30";157217,09;871214,15;1028431,24
"2021-10-31";187792,12;979861,9;1167654,02
"2021-11-30";191275,55;1035152,42;1226427,97
"2021-12-31";217821,26;1224400,75;1442222,01
"2022-01-31";190757,74;1093368,23;1284125,97
"2022-02-28";205055,94;1162439,57;1367495,51
"2022-03-31";238570,62;1362478,42;1601049,05
"2022-04-30";247643,93;1419966,43;1667610,35
"2022-05-31";284592,67;1575162,71;1859755,38
"2022-06-30";296770,69;1633750,26;1930520,95
"2022-07-31";315815,14;1749926,76;2065741,9
"2022-08-31";334214,98;1858906,26;2193121,24
"2022-09-30";379692,16;1921667,89;2301360,06
"2022-10-31";402556,59;2048976,62;2451533,21
"2022-11-30";409789,12;2103797,25;2513586,37
"2022-12-31";466253,31;2423164,69;2889418
"2023-01-31";466253,31;2182916,97;2889418