"DateTime";"até 19 anos";"mais de 60 anos";"entre 50 e 59 anos";"entre 40 e 49 anos";"entre 20 e 29 anos";"entre 30 e 39 anos"
"2021-02-28";0,003024;0,049241;0,087242;0,210434;0,289641;0,360417
"2021-03-31";0,004036;0,050551;0,089616;0,212537;0,290798;0,352462
"2021-04-30";0,00476;0,050657;0,090039;0,212019;0,295332;0,347193
"2021-05-31";0,005843;0,04959;0,090711;0,211056;0,303282;0,339518
"2021-06-30";0,006483;0,050306;0,091524;0,211192;0,303725;0,33677
"2021-07-31";0,007209;0,049721;0,092668;0,211986;0,303494;0,334922
"2021-08-31";0,008085;0,04838;0,092897;0,212734;0,305055;0,332849
"2021-09-30";0,008997;0,047729;0,093043;0,213014;0,30631;0,330907
"2021-10-31";0,009988;0,047178;0,093321;0,212772;0,308864;0,327876
"2021-11-30";0,011058;0,046783;0,092809;0,211977;0,311237;0,326135
"2021-12-31";0,011686;0,046796;0,093577;0,213148;0,310978;0,323816
"2022-01-31";0,012939;0,046956;0,093607;0,212478;0,310634;0,323385
"2022-02-28";0,014754;0,046345;0,092964;0,211383;0,312308;0,322246
"2022-03-31";0,016892;0,046901;0,093772;0,211585;0,311116;0,319734
"2022-04-30";0,01862;0,047192;0,093573;0,210771;0,31232;0,317524
"2022-05-31";0,020638;0,04721;0,093528;0,210189;0,313081;0,315354
"2022-06-30";0,022597;0,047195;0,093617;0,210021;0,31292;0,31365
"2022-07-31";0,02374;0,046498;0,09412;0,210528;0,311951;0,313163
"2022-08-31";0,027478;0,046086;0,09406;0,210167;0,310928;0,311281
"2022-09-30";0,030381;0,046286;0,094463;0,210137;0,310006;0,308727
"2022-10-31";0,0333;0,045032;0,092826;0,20802;0,312843;0,30798
"2022-11-30";0,035656;0,044757;0,092481;0,207342;0,313086;0,306679
"2022-12-31";0,035405;0,044671;0,09326;0,208424;0,311697;0,306543
"2023-01-31";0,037146;0,045854;0,093827;0,207764;0,309234;0,306176